hypodd_id,event_id,origin_time_utc,event_lat_x,event_lon_x,event_depth_km_x,origin_time_nlloc,nlloc_lat,nlloc_lon,nlloc_depth_km,nlloc_rms_s,nlloc_nphs,nlloc_gap_deg,nlloc_herr_km,nlloc_verr_km,nlloc_file,event_lat_y,event_lon_y,event_depth_km_y,magnitude,id,lat,lon,dep,x,y,z,ex,ey,ez,yr,mo,dy,hr,mn,sc,mag,nccp,nccs,nctp,ncts,rcc,rct,cid,hypodd_horizontal_shift_km,hypodd_vertical_shift_km,hypodd_shift_3d_km,hypodd_status,qc_small_cluster,qc_nlloc_depth_boundary,final_lat,final_lon,final_depth_km
33,SGC2023tnjthq,2023-10-04T09:42:57.649999Z,6.8055,-73.1465,149.53,2023-10-04T09:42:56.026307+00:00,6.736012,-73.151683,162.367188,0.18905,7,152.478,22.06576533909486,38.53517873320429,loc\sgc62.20231004.094317.59.grid0.loc.hyp,6.8055,-73.1465,149.53,3.5,33.0,6.737318,-73.149015,162.342,4770.8,-7860.8,33325.0,1012.8,868.4,455.9,2023.0,10.0,4.0,9.0,42.0,56.03,3.5,0.0,0.0,4.0,0.0,0.0,0.012,3.0,0.3284808817104205,-0.025187999999985777,0.329445177523142,relocated,False,False,6.737318,-73.149015,162.342
34,SGC2023vzpirs,2023-11-08T09:18:12.580000Z,7.432833333,-74.07966667,25.73,2023-11-08T09:18:11.607082+00:00,7.374904,-74.090454,70.445312,0.131065,8,245.99,20.809997597308847,23.91240263963452,loc\sgc62.20231108.091824.66.grid0.loc.hyp,7.432833333,-74.07966667,25.73,2.6,34.0,7.375405,-74.090715,70.562,-8245.1,-4030.6,1892.9,311.8,326.3,419.8,2023.0,11.0,8.0,9.0,18.0,11.61,2.6,0.0,0.0,17.0,0.0,0.0,0.099,1.0,0.06270728827157959,0.11668799999999635,0.13246997148929313,relocated,False,False,7.375405,-74.090715,70.562
35,SGC2023wlnqql,2023-11-14T21:20:46.609999Z,7.237166667,-73.32583333,34.34,2023-11-14T21:20:45.553349+00:00,7.227547,-73.307085,39.949219,0.22041,8,198.085,18.014716206479637,16.83683461936952,loc\sgc62.20231114.212054.01.grid0.loc.hyp,7.237166667,-73.32583333,34.34,2.8,35.0,7.228854,-73.307503,39.825,550.6,14203.7,437.6,835.3,1359.2,898.8,2023.0,11.0,14.0,21.0,20.0,45.56,2.8,0.0,0.0,10.0,0.0,0.0,0.054,2.0,0.152478149367539,-0.12421899999999653,0.19667217900747597,relocated,False,False,7.228854,-73.307503,39.825
36,SGC2024bkjqkz,2024-01-20T19:31:45.280000Z,6.804333333,-73.09916667,150.91,2024-01-20T19:31:48.720950+00:00,6.843181,-73.124544,120.164062,0.150689,6,150.231,12.792263286846469,22.78933961307348,loc\sgc62.20240120.193205.30.grid0.loc.hyp,6.804333333,-73.09916667,150.91,3.2,36.0,6.843795,-73.124186,120.157,7514.7,3914.3,-8859.1,986.1,818.2,410.3,2024.0,1.0,20.0,19.0,31.0,48.72,3.2,0.0,0.0,12.0,0.0,0.0,0.055,3.0,0.0788924823577866,-0.007062000000004787,0.07920792647566113,relocated,False,False,6.843795,-73.124186,120.157
37,SGC2024clkrqm,2024-02-04T13:04:09.519999Z,6.796333333,-73.125,150.3,2024-02-04T13:04:14.528693+00:00,6.847303,-73.160776,106.289062,0.117592,7,139.932,16.32510336873859,28.750721730071405,loc\sgc62.20240204.130429.53.grid0.loc.hyp,6.796333333,-73.125,150.3,4.1,37.0,6.847718,-73.160116,106.321,3543.5,4348.1,-22695.9,600.9,869.0,372.8,2024.0,2.0,4.0,13.0,4.0,14.53,4.1,0.0,0.0,12.0,0.0,0.0,0.058,3.0,0.08625227696226846,0.03193799999999669,0.0919754919811558,relocated,False,False,6.847718,-73.160116,106.321
38,SGC2024lyrntx,2024-06-18T05:56:17.420000Z,6.834166667,-73.163,150.14,2024-06-18T05:56:22.265397+00:00,6.8844,-73.160789,103.976562,0.187974,8,137.325,16.03695731739659,26.468849616105345,loc\sgc62.20240618.055636.81.grid0.loc.hyp,6.834166667,-73.163,150.14,2.4,38.0,6.884901,-73.161426,103.973,3398.7,8460.2,-25043.2,851.9,799.6,370.6,2024.0,6.0,18.0,5.0,56.0,22.26,2.4,0.0,0.0,11.0,0.0,0.0,0.055,3.0,0.08971707341074521,-0.0035620000000022856,0.08978775587678457,relocated,False,False,6.884901,-73.161426,103.973
39,SGC2024shqvfe,2024-09-16T02:53:12.380000Z,7.561833333,-73.13733333,139.57,2024-09-16T02:53:20.102808+00:00,7.34296,-73.159816,69.433594,0.126488,8,208.121,21.68886811246728,37.281630865615305,loc\sgc62.20240916.025331.68.grid0.loc.hyp,7.561833333,-73.13733333,139.57,2.4,39.0,7.342933,-73.159546,69.394,16891.8,26819.7,30006.1,946.5,918.0,909.8,2024.0,9.0,16.0,2.0,53.0,20.1,2.4,0.0,0.0,10.0,0.0,0.0,0.028,2.0,0.029928749406716106,-0.03959399999999391,0.04963280041514409,relocated,False,False,7.342933,-73.159546,69.394
40,SGC2024tcjfvv,2024-09-27T09:38:08.189999Z,7.3705,-73.05966667,161.55,2024-09-27T09:38:16.729334999+00:00,7.23476,-73.106518,80.851562,0.138896,6,186.345,24.16977451280835,34.182159089209094,loc\sgc62.20240927.093830.27.grid0.loc.hyp,7.3705,-73.05966667,161.55,2.4,40.0,7.23455,-73.107153,80.923,22681.1,14833.6,41535.7,973.3,1138.9,896.4,2024.0,9.0,27.0,9.0,38.0,16.72,2.4,0.0,0.0,4.0,0.0,0.0,0.019,2.0,0.07383966176963279,0.07143800000000056,0.10274085601285328,relocated,False,False,7.23455,-73.107153,80.923
41,SGC2025kgeyrg,2025-05-26T00:19:43.560000Z,6.560666667,-73.50683333,117.39,2025-05-26T00:19:50.825121+00:00,6.859669,-73.396289,46.742188,0.199562,8,112.935,19.369357242820424,36.41593057989868,loc\sgc62.20250526.001959.27.grid0.loc.hyp,6.560666667,-73.50683333,117.39,3.4,41.0,6.860299,-73.394279,46.95,-9037.1,-26554.8,7562.2,1829.3,1653.6,1442.0,2025.0,5.0,26.0,0.0,19.0,50.81,3.4,0.0,0.0,2.0,0.0,0.0,0.011,2.0,0.23270738066725544,0.2078120000000041,0.3119912696871767,relocated,False,False,6.860299,-73.394279,46.95
42,SGC2025pgzatv,2025-08-05T06:07:28.339999Z,7.723166667,-73.75666667,43.88,2025-08-05T06:07:30.712465+00:00,7.508865,-73.571472,10.03125,0.0701608,7,216.284,25.24460338369371,31.270257434181765,loc\sgc62.20250805.060737.20.grid0.loc.hyp,7.723166667,-73.75666667,43.88,1.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,unlinked_nlloc_only,False,False,7.508865,-73.571472,10.03125
