dataset,event_id,huber_delta_s,rms_change_s,depth_change_km,horizontal_shift_change_km
stratified32,SGC2022luluqb,0.5,3.552713678800501e-15,-2.1204915725547835e-06,2.211968368470707e-07
stratified32,SGC2022luluqb,1.5,2.248201624865942e-15,-1.4412468019031621e-06,-7.208296270988512e-08
stratified32,SGC2022mdzfra,0.5,0.021021773930778975,5.281876077828926,-6.58508141913649
stratified32,SGC2022mdzfra,1.5,-0.007625737500962626,-3.583115675465976,4.693261768656534
stratified32,SGC2022metnph,0.5,5.995204332975845e-15,1.4492401589905057e-06,8.445251022948241e-07
stratified32,SGC2022metnph,1.5,1.6653345369377348e-16,7.045584311526909e-07,2.9193117434545e-07
stratified32,SGC2022ofpwob,0.5,0.0,0.0,0.0
stratified32,SGC2022ofpwob,1.5,-5.6066262743570405e-15,6.375211683007365e-07,4.885825095612972e-07
stratified32,SGC2022omvgfe,0.5,-5.551115123125783e-17,1.3359223771658435e-07,-3.8514341227369187e-07
stratified32,SGC2022omvgfe,1.5,4.135580766728708e-15,8.081817952643178e-07,-2.597437296358862e-07
stratified32,SGC2022oormtr,0.5,0.008328504904548673,0.8809307779344522,-1.6766710252256267
stratified32,SGC2022oormtr,1.5,-2.7755575615628914e-16,0.0,-5.765714607974814e-07
stratified32,SGC2022pdaiuz,0.5,0.19015330638433037,0.0,3.006383758487633
stratified32,SGC2022pdaiuz,1.5,-0.15469755998297208,0.0,-5.206961674195636
stratified32,SGC2022razkne,0.5,2.0816681711721685e-15,5.539401570331393e-06,-2.0786667409566917e-07
stratified32,SGC2022razkne,1.5,0.0,0.0,0.0
stratified32,SGC2023tnjthq,0.5,4.683115562009732e-10,0.0,0.00017264198723676571
stratified32,SGC2023tnjthq,1.5,3.434446615990794e-10,0.0,-0.00038219250347104605
stratified32,SGC2024bkjqkz,0.5,0.0015497064451442943,0.0,0.3086262411854088
stratified32,SGC2024bkjqkz,1.5,-6.938893903907228e-15,0.0,-1.4441228275430262e-06
stratified32,SGC2024clkrqm,0.5,-6.38378239159465e-16,0.0,1.927521662281606e-07
stratified32,SGC2024clkrqm,1.5,1.1518563880486e-15,0.0,-3.280019580387261e-07
stratified32,SGC2026alqild,0.5,1.7852608280577442e-11,0.00015327605814263734,-7.396944923243609e-07
stratified32,SGC2026alqild,1.5,9.989786775577159e-13,5.216897903892459e-06,2.513230263900823e-06
stratified32,SGC2026cjxroc,0.5,-1.1362616403332026e-10,4.956544330525503e-08,0.00016703235033155295
stratified32,SGC2026cjxroc,1.5,-8.717582211659192e-11,4.956544330525503e-08,-0.00024352257335458205
