dataset,event_id,rms_min,rms_max,lat_min,lat_max,lon_min,lon_max,depth_min_km,depth_max_km,boundary_methods,dh25_methods,rms_range_s,depth_range_km,horizontal_range_km,within_1m,within_100m
stratified32,SGC2019nhquk,0.5945537639526097,0.5945537669111023,7.7795718152559585,7.779571892012816,-73.24991846805706,-73.24991846221288,17.625321932128998,17.625322694563863,0,0,2.958492562044057e-09,7.624348654644564e-07,8.56893785987096e-06,True,True
stratified32,SGC2019pdbii,0.4823502100329444,0.4823502100329488,7.44731544433207,7.44731546649856,-73.7521071010286,-73.75210708904987,107.38,107.38,4,0,4.385380947269368e-15,0.0,2.8001174765540044e-06,True,True
stratified32,SGC2019pxebo,0.5215595473461926,0.5215595574182149,7.083444918773163,7.083444935075978,-73.82972007065891,-73.82972004954601,110.59,110.59,4,0,1.0072022327278773e-08,0.0,2.9555737501187383e-06,True,True
stratified32,SGC2019qdhsi,0.535844780618221,0.535844780618232,6.953841763030529,6.953841772790303,-74.00159460450809,-74.00159458711546,23.25806082560426,23.25806414921708,0,0,1.099120794378905e-14,3.323612819627897e-06,2.2075731997111122e-06,True,True
stratified32,SGC2019tgdbei,0.3497678219773101,0.3497678219773171,6.442717380244125,6.442717397968258,-73.6630576038778,-73.6630575994314,20.173501235279517,20.173505672273823,0,0,6.994405055138486e-15,4.43699430618949e-06,2.0332950461004197e-06,True,True
stratified32,SGC2019uqtpny,0.4873800056124726,0.4873800433523513,6.378713379874194,6.378738449937394,-73.7040243135252,-73.70400265463492,57.35148430018224,57.35386500891212,0,0,3.773987872213169e-08,0.0023807087298806096,0.0036763391617832108,False,True
stratified32,SGC2019vrkvej,0.4160097113130095,0.4160097113337291,6.532840617606648,6.532840630642177,-73.74128212255067,-73.74128211358183,111.05,111.05,4,0,2.0719592708218215e-11,0.0,1.757200924175057e-06,True,True
stratified32,SGC2019wbnvco,0.3089888633315983,0.3089888633316045,6.597490610001133,6.597490619384547,-73.51182248824965,-73.5118224760104,130.61,130.61,4,0,6.217248937900877e-15,0.0,1.7087637408381806e-06,True,True
stratified32,SGC2019wbptlu,0.3412390937718311,0.3412390937718375,6.706548559109397,6.706548564482691,-73.47043960543662,-73.47043960280882,29.853130612214997,29.853134138310637,0,0,6.38378239159465e-15,3.52609563947226e-06,6.648989080685829e-07,True,True
stratified32,SGC2019wccpcd,0.590163830655496,0.5901638340603019,7.081260428717989,7.081260437036952,-73.9538603650314,-73.95386035657025,11.888576998869969,11.888581230864917,0,0,3.4048058816793514e-09,4.2319949482561015e-06,1.3158995572824372e-06,True,True
