dataset,event_id,method,huber_delta_s,objective_s,relocated_rms_s,origin_shift_s,relocated_depth_km,delta_horizontal_km,delta_depth_km,depth_boundary
new30,SGC2023tdymfy,HSSO-E,0.5,0.20606702166816965,0.20606702166816965,-0.8224326429510516,42.71521861868677,13.732072624204019,18.90521861868677,False
new30,SGC2023wlnqql,HSSO-E,0.5,0.09852506633951333,0.09852506633951333,-1.5036759154311117,37.546098092502156,4.248814871147841,3.2060980925021525,False
new30,SGC2025qrozun,HSSO-E,0.5,0.18141735704159573,0.18141735704159573,-1.483936601749262,38.662059564179415,4.632498433652798,4.542059564179418,False
new30,SGC2026boggwn,HSSO-E,0.5,0.16653814402590478,0.16653814402590478,-0.3335461847542902,62.57379452324639,19.61511648551759,17.703794523246394,False
new30,SGC2025pgzatv,HSSO-E,0.5,0.18591536925853142,0.18591536925853142,-0.8711168001163045,58.994950526444875,8.824495522274574,15.114950526444872,False
new30,SGC2025yxrhgz,HSSO-E,0.5,0.4752153107809133,0.5428884982902785,-0.03157467785618451,31.5,5.168105664360377,-20.0,True
new30,SGC2023scytrc,HSSO-E,0.5,0.07209850217498819,0.07209850217498819,3.1187411428265968,52.33880423373182,19.838812605869308,0.2684917337318211,False
new30,SGC2026baehdu,HSSO-E,0.5,0.4356560658465849,0.535705486830966,2.354976449988616,68.66292680896508,38.620586264806,3.812926808965088,False
new30,SGC2025wvcvfj,HSSO-E,0.5,0.1395212234155725,0.1395212234155725,0.6105266914242939,75.39251513945696,31.001086313900224,7.7525151394569605,False
new30,SGC2026afswai,HSSO-E,0.5,0.20502652576826202,0.20502652576826202,-0.13684594578995046,73.5302086901232,10.485569962120215,2.040208690123208,False
new30,SGC2025yymqxd,HSSO-E,0.5,0.3592219129117938,0.36172967530334743,0.1006073596023711,71.35612839855763,6.084255108029657,-6.833871601442368,False
new30,SGC2025xyrfux,HSSO-E,0.5,0.19765861231588994,0.19765861231588994,1.808746096046633,78.50855613367222,30.462229561735924,-5.821443866327783,False
new30,SGC2026cmuvbi,HSSO-E,0.5,0.14589634133857426,0.14589634133857426,0.5589242516169941,94.94077282964712,27.744489772528798,8.610772829647118,False
new30,SGC2026asvptr,HSSO-E,0.5,0.20865061561090215,0.20865061561090215,-2.0136953086848104,117.57335988185292,4.041204926902374,18.51335988185292,False
new30,SGC2026arcexx,HSSO-E,0.5,0.27988549799355916,0.2828009103541147,-2.290147719961187,110.0,10.216141247816292,20.0,True
new30,SGC2026apmkrl,HSSO-E,0.5,0.12985605632662658,0.12985605632662658,-1.0843316993204546,118.10153762446578,6.815630270414322,10.611537624465782,False
new30,SGC2025yuczzx,HSSO-E,0.5,0.16784100509659508,0.16784100509659508,-1.6825009210444257,115.84723084375712,0.8382632297541507,11.397230843757114,False
new30,SGC2025zqwcsx,HSSO-E,0.5,0.14045244337510962,0.14045244337510962,-1.3969626678133533,132.93402826436446,5.666786910372149,15.014028264364455,False
new30,SGC2025kgeyrg,HSSO-E,0.5,0.19448876121453892,0.19448876121453892,-1.984208010964263,137.39,5.155498675945982,19.999999999999986,True
new30,SGC2022obwjqd,HSSO-E,0.5,0.129751365955178,0.129751365955178,-2.103339805421502,146.14129095804847,3.8642519927667798,19.241290958048467,False
new30,SGC2022mvfomu,HSSO-E,0.5,0.10615996819812677,0.10615996819812677,-1.098669993260243,140.35940364824802,7.106219516949346,11.839403648248009,False
new30,SGC2022hytacc,HSSO-E,0.5,0.18549765494323522,0.18549765494323522,-1.4555921419487277,155.01976507945247,12.478028843425967,16.899765079452465,False
new30,SGC2024shqvfe,HSSO-E,0.5,0.2158270616439862,0.2158270616439862,2.749985069847307,119.57,19.182068168826092,-20.0,True
new30,SGC2025ycdafx,HSSO-E,0.5,0.23981729196542667,0.23981729196542667,-0.23056488005988385,163.2421875,11.713171599539756,20.0,True
new30,SGC2025yshmnq,HSSO-E,0.5,0.36007263164825676,0.3832292413131603,2.3097833646631702,120.25,19.28630921974354,-20.0,True
new30,SGC2024lyrntx,HSSO-E,0.5,0.27964286271072003,0.2919725656100689,-1.6695473969351369,170.14,0.21730914501659127,20.0,True
new30,SGC2025xyndwy,HSSO-E,0.5,0.47945627415658804,0.5880410679820623,2.1362575060140436,135.08202022125192,12.669527273567134,-16.647979778748066,False
new30,SGC2024tcjfvv,HSSO-E,0.5,0.01702493523776942,0.01702493523776942,0.7842304691078343,162.10301081133747,14.296655669038602,0.5530108113374581,False
new30,SGC2026akeapz,HSSO-E,0.5,0.2222535088599973,0.2222535088599973,2.254256509583181,117.94,21.92688714574971,-20.0,True
stratified32,SGC2019nhquk,HSSO-E,1.5,0.5940739184445838,0.5940739184445838,-2.049058115234688,17.87380973473829,8.62746607427685,8.093809734738292,False
stratified32,SGC2019ioilw,HSSO-E,1.5,0.40509202365971386,0.40509202365971386,-1.7688970339861285,5.7308533355950395,3.079806199804445,4.570853335595039,False
stratified32,SGC2019qdhsi,HSSO-E,1.5,0.5358447806182269,0.5358447806182269,-1.2457825490195766,23.25805764328073,2.3762676226849306,5.12805764328073,False
stratified32,SGC2019wccpcd,HSSO-E,1.5,0.589355521835735,0.589355521835735,-1.5894215493067043,12.28530930985539,2.2595325237191406,-7.59469069014461,False
stratified32,SGC2019tgdbei,HSSO-E,1.5,0.3497678219773189,0.3497678219773189,-0.8774014287587195,20.173506922553003,4.776111111898235,-7.826493077446997,False
stratified32,SGC2019wbptlu,HSSO-E,1.5,0.34123909377183076,0.34123909377183076,-1.323381373736249,29.853133665429038,2.900114982722961,1.3131336654290386,False
stratified32,SGC2019mwyzm,HSSO-E,1.5,0.33867343574753145,0.33867343574753145,-1.250217509346184,35.23753482412709,3.235162997412764,1.397534824127085,False
stratified32,SGC2022luluqb,HSSO-E,1.5,0.16452232174764495,0.16452232174764495,-0.5763115399257859,25.60756924885796,7.2024742352868705,-5.9724307511420385,False
