dataset,event_id,method,terminal_objective_s,target_objective_s,reached_objective_s,iterations,evaluations,elapsed_s,full_elapsed_s,time_fraction
stratified32,SGC2022lnpqkc,LPSO,0.2240499528207053,0.2241499528207053,0.22412245974346043,81,2460,0.22499300027266145,1.029126400128007,0.21862523422261435
stratified32,SGC2022lnpqkc,HSSO-no-helix,0.224049952820703,0.224149952820703,0.22414599027421542,24,750,0.10764880012720823,1.290567200165242,0.08341200683964776
stratified32,SGC2022lnpqkc,HSSO-E,0.2240499528206993,0.2241499528206993,0.2241142863590952,17,540,0.08131409995257854,1.371646299958229,0.059282119563224725
stratified32,SGC2019pxebo,PSO,0.5061715160583884,0.5062715160583884,0.5061799396731226,33,1020,0.06814699992537498,0.9986032000742852,0.06824232079399065
stratified32,SGC2019pxebo,LPSO,0.5061715160583918,0.5062715160583918,0.5061811104506332,62,1890,0.17122590029612184,1.113530199974775,0.1537685285051098
stratified32,SGC2019pxebo,HSSO-no-helix,0.5061715160583912,0.5062715160583912,0.5062428340267294,14,450,0.06341110030189157,1.2958764997310936,0.04893298112516892
stratified32,SGC2019pxebo,HSSO-E,0.5061715160583912,0.5062715160583912,0.506220683347603,14,450,0.07175799971446395,1.4086298998445272,0.0509416985415289
stratified32,SGC2019vrkvej,PSO,0.416009559818268,0.41610955981826797,0.41610237119061,38,1170,0.11349620018154383,0.62789969984442,0.1807553024944362
stratified32,SGC2019vrkvej,LPSO,0.416009559818265,0.416109559818265,0.41607504632138137,53,1620,0.3122374997474253,0.8458596002310514,0.3691363196234172
stratified32,SGC2019vrkvej,HSSO-no-helix,0.4160095598182643,0.4161095598182643,0.41604936699095346,18,570,0.16415710002183914,1.7677906998433173,0.09286003147114005
stratified32,SGC2019vrkvej,HSSO-E,0.4160095598182687,0.4161095598182687,0.4160552060638417,15,480,0.10744490008801222,1.4652113001793623,0.07333065208742211
stratified32,SGC2022ofpwob,PSO,0.1468228678066555,0.14692286780665548,0.1468761585608501,72,2190,0.2386078997515142,0.5815755999647081,0.41027838816826856
stratified32,SGC2022ofpwob,LPSO,0.1468228678066489,0.1469228678066489,0.14686856946915497,116,3510,0.5718853999860585,0.7970300996676087,0.7175204552808683
stratified32,SGC2022ofpwob,HSSO-no-helix,0.1468228678066545,0.14692286780665448,0.1469154110345271,19,600,0.14994650008156896,1.2798751001246274,0.11715713515089712
stratified32,SGC2022ofpwob,HSSO-E,0.1468228678066534,0.1469228678066534,0.14688755488862523,34,1050,0.3111811997368932,1.7769594001583755,0.17512003915742727
stratified32,SGC2020dtzpwj,PSO,0.388848235057973,0.388948235057973,0.38889074233435683,41,1260,0.19655120000243187,0.6880892999470234,0.28564780765747194
stratified32,SGC2020dtzpwj,LPSO,0.3888482350579667,0.38894823505796666,0.3889359255779278,41,1260,0.207005700096488,0.7848613001406193,0.2637481298407756
stratified32,SGC2020dtzpwj,HSSO-no-helix,0.3888482350579699,0.3889482350579699,0.3889436452746508,16,510,0.14388239989057183,1.4367639999836683,0.10014337768221318
stratified32,SGC2020dtzpwj,HSSO-E,0.3888482350579718,0.38894823505797177,0.3888522253663678,19,600,0.17601090017706156,1.295056799892336,0.13590979190387184
stratified32,SGC2019wbnvco,PSO,0.3089888633316045,0.3090888633316045,0.30907387269997455,43,1320,0.19434279995039105,0.8941902001388371,0.21733944290623658
stratified32,SGC2019wbnvco,LPSO,0.3089888633315993,0.3090888633315993,0.3090349570155259,57,1740,0.33305140025913715,1.210356300231069,0.27516806430929003
stratified32,SGC2019wbnvco,HSSO-no-helix,0.3089888633315987,0.3090888633315987,0.30906962651432085,14,450,0.14099090034142137,1.4489269000478089,0.09730711765843345
stratified32,SGC2019wbnvco,HSSO-E,0.3089888633315983,0.3090888633315983,0.30900670455390095,19,600,0.227566699963063,1.4483393002301457,0.15712250570491454
stratified32,SGC2022razkne,PSO,0.1508443688032364,0.1509443688032364,0.15085110802358534,85,2580,0.3800615998916328,0.8774950001388788,0.4331211002130855
stratified32,SGC2022razkne,LPSO,0.1508443688032315,0.15094436880323148,0.150883904698879,109,3300,0.46347650000825524,1.0819947998970747,0.42835372226589596
stratified32,SGC2022razkne,HSSO-no-helix,0.1508443688032285,0.15094436880322848,0.15089388479689642,19,600,0.11703860014677048,1.2811114997603,0.09135707560869509
stratified32,SGC2022razkne,HSSO-E,0.1508443688032329,0.1509443688032329,0.15091463593121607,40,1230,0.20474760001525283,1.3620373997837305,0.15032450654274504
stratified32,SGC2020gerodj,PSO,0.3130796538078651,0.3131796538078651,0.3131591408440477,24,750,0.046698799822479486,0.6025547999888659,0.07750133236569089
stratified32,SGC2020gerodj,LPSO,0.3130796538078619,0.3131796538078619,0.3131728026419104,56,1710,0.34183999989181757,1.114862100221217,0.3066208814740297
stratified32,SGC2020gerodj,HSSO-no-helix,0.3130796538078679,0.3131796538078679,0.31308270911331526,12,390,0.10058560036122799,1.8774309996515512,0.0535761902194523
stratified32,SGC2020gerodj,HSSO-E,0.3130796538078654,0.3131796538078654,0.31314770054852914,10,330,0.08341450011357665,1.431487999856472,0.05827118363684516
stratified32,SGC2020agjggo,PSO,0.350598605277223,0.35069860527722296,0.35068279207701536,72,2190,0.1985852001234889,0.5661912998184562,0.35073869942396385
stratified32,SGC2020agjggo,LPSO,0.3505992224422876,0.3506992224422876,0.35067267033136107,98,2970,0.4188834000378847,1.2549738995730877,0.3337785751403905
stratified32,SGC2020agjggo,HSSO-no-helix,0.3505985797375928,0.3506985797375928,0.350692857844373,17,540,0.0971443997696042,1.2946699000895023,0.07503410696648503
stratified32,SGC2020agjggo,HSSO-E,0.3505986006818589,0.3506986006818589,0.3506338421103557,39,1200,0.19491720013320446,1.332890400197357,0.14623647983685956
stratified32,SGC2026alqild,PSO,0.2514884359704654,0.2515884359704654,0.25156262199453666,74,2250,0.12382780015468597,0.5227824999019504,0.23686294047316103
stratified32,SGC2026alqild,LPSO,0.2514884359704627,0.2515884359704627,0.2515664227191939,80,2430,0.2485071998089552,0.7532911999151111,0.32989526472227426
stratified32,SGC2026alqild,HSSO-no-helix,0.2514884359704613,0.25158843597046127,0.25156023496046404,25,780,0.14675400033593178,1.8116110996343195,0.081007452629074
stratified32,SGC2026alqild,HSSO-E,0.2514884359726962,0.2515884359726962,0.25155308753611844,24,750,0.12824549991637468,1.3916834997944534,0.09215134039838518
stratified32,SGC2018hxdw,PSO,0.4010435588172594,0.4011435588172594,0.4011408448810965,80,2430,0.24581100000068545,0.51350689958781,0.4786907443658439
stratified32,SGC2018hxdw,LPSO,0.4010435587406599,0.4011435587406599,0.4010829916595376,91,2760,0.42552189994603395,0.8934717001393437,0.4762567184608875
stratified32,SGC2018hxdw,HSSO-no-helix,0.4010435512637034,0.4011435512637034,0.4011220230484158,20,630,0.15238790027797222,1.2360827000811696,0.12328293266135461
stratified32,SGC2018hxdw,HSSO-E,0.4010435607804335,0.4011435607804335,0.4011232059901533,29,900,0.1938930000178516,1.7935154000297189,0.10810779768862802
stratified32,SGC2026cjxroc,PSO,0.1605336350428388,0.16063363504283878,0.16062003432113423,78,2370,0.19663990009576082,0.583080000244081,0.33724343145614
stratified32,SGC2026cjxroc,LPSO,0.160533634796208,0.16063363479620799,0.16058599952289263,78,2370,0.305846500210464,0.7537853000685573,0.40574749890008077
stratified32,SGC2026cjxroc,HSSO-no-helix,0.1605336347443731,0.1606336347443731,0.1605675519616607,20,630,0.11337730009108782,1.210610100068152,0.09365302675461339
stratified32,SGC2026cjxroc,HSSO-E,0.1605336356233951,0.16063363562339508,0.16062326328895507,44,1350,0.20620370004326105,1.3317490997724235,0.15483674821218069
stratified32,SGC2023tnjthq,PSO,0.2387747174153788,0.2388747174153788,0.23883654522999137,47,1440,0.08184750005602837,0.6871039997786283,0.11911952205546475
stratified32,SGC2023tnjthq,LPSO,0.2387747171925542,0.23887471719255418,0.2388247709708466,73,2220,0.24111479986459017,0.9116638000123204,0.2644777601801582
stratified32,SGC2023tnjthq,HSSO-no-helix,0.238783693638469,0.23888369363846898,0.2388814409789943,17,540,0.12172000017017126,1.4290702999569476,0.08517425641960247
stratified32,SGC2023tnjthq,HSSO-E,0.2387747172351534,0.23887471723515338,0.23880802900550863,22,690,0.1549209002405405,1.219316600356251,0.1270555163402818
stratified32,SGC2024clkrqm,PSO,0.1022307881983702,0.1023307881983702,0.10223170052780413,12,390,0.031880700029432774,0.4768077996559441,0.0668627905257366
stratified32,SGC2024clkrqm,LPSO,0.1022307881983649,0.1023307881983649,0.10231341132706748,69,2100,0.19727899972349405,0.6960919997654855,0.28340937661969634
stratified32,SGC2024clkrqm,HSSO-no-helix,0.1022307881983667,0.1023307881983667,0.10228677604212094,18,570,0.07223659986630082,1.645315000321716,0.043904419428605505
stratified32,SGC2024clkrqm,HSSO-E,0.1022307881983659,0.1023307881983659,0.10223167293980731,23,720,0.09765239991247654,1.2931419000960886,0.07551561039451304
stratified32,SGC2024bkjqkz,PSO,0.3377427921254607,0.3378427921254607,0.3377619455985958,23,720,0.03153500007465482,0.4305991996079683,0.07323515720271966
stratified32,SGC2024bkjqkz,LPSO,0.3377427921254629,0.33784279212546287,0.33779152580848093,37,1140,0.08484189957380295,0.6900656004436314,0.1229475857357033
stratified32,SGC2024bkjqkz,HSSO-no-helix,0.3377427921254618,0.3378427921254618,0.33780913144320757,15,480,0.07437520008534193,1.5170188997872174,0.049027207304914965
stratified32,SGC2024bkjqkz,HSSO-E,0.3377427921254656,0.3378427921254656,0.33775042369971603,11,360,0.060324199963361025,1.4441566998139024,0.04177122882242249
new30,SGC2023vzpirs,PSO,0.4310353221121309,0.4311353221121309,0.4310888425447905,49,1500,0.16127429995685816,0.559217699803412,0.2883926957489949
new30,SGC2023vzpirs,LPSO,0.4310353291513862,0.4311353291513862,0.4310582035089759,66,2010,0.3392773000523448,0.7564945002086461,0.44848614227700256
new30,SGC2023vzpirs,HSSO-no-helix,0.431035321404993,0.431135321404993,0.4311019045791039,18,570,0.15082369977608323,1.2041375003755093,0.12525454919313533
new30,SGC2023vzpirs,HSSO-E,0.4310353223130603,0.4311353223130603,0.4310375472654238,20,630,0.11774779995903373,1.2794971000403166,0.09202662511335394
new30,SGC2023tdymfy,PSO,0.2060670216681734,0.20616702166817338,0.20611619312788554,125,3780,0.2843637000769377,0.8236517999321222,0.34524746998716244
new30,SGC2023tdymfy,LPSO,0.2060670216681666,0.20616702166816658,0.2060882112745857,102,3090,0.3524036998860538,1.0082803000696003,0.34950965506489395
new30,SGC2023tdymfy,HSSO-no-helix,0.2060670216681709,0.20616702166817089,0.20611665254794873,36,1110,0.1559941996820271,1.2612171997316182,0.12368543635086963
new30,SGC2023tdymfy,HSSO-E,0.2060670216681697,0.2061670216681697,0.20614102816094568,29,900,0.12512889970093966,1.2571840998716652,0.0995310867467326
new30,SGC2023wlnqql,PSO,0.098525066339511,0.098625066339511,0.09854712315321623,70,2130,0.1516785998828709,0.7019173000007868,0.2160918385722946
new30,SGC2023wlnqql,LPSO,0.0985250663395179,0.0986250663395179,0.09861226296860225,76,2310,0.24598059989511967,1.12089079990983,0.21945099372294566
new30,SGC2023wlnqql,HSSO-no-helix,0.0985250663395174,0.0986250663395174,0.09860443966857309,17,540,0.09732780000194907,1.3654109998606143,0.07128095497391233
new30,SGC2023wlnqql,HSSO-E,0.0985250663395154,0.0986250663395154,0.09856790295498527,41,1260,0.27605019975453615,1.3228067997843027,0.20868519862428056
new30,SGC2025qrozun,PSO,0.1813936774353163,0.18149367743531628,0.18149240324396873,102,3090,0.21165220020338893,0.4856475000269711,0.4358144542937718
new30,SGC2025qrozun,LPSO,0.181393191211474,0.18149319121147398,0.1814614834546615,89,2700,0.3217295999638736,0.6966910003684461,0.4617966929294715
new30,SGC2025qrozun,HSSO-no-helix,0.1814367515884507,0.1815367515884507,0.18153259560763801,37,1140,0.186466199811548,1.592479499988258,0.1170917426647708
new30,SGC2025qrozun,HSSO-E,0.1813909765462135,0.1814909765462135,0.181487443824556,54,1650,0.2610641000792384,1.259004199877381,0.20735760858038788
new30,SGC2026boggwn,PSO,0.1665381440259025,0.1666381440259025,0.16659271208659673,72,2190,0.14424109971150756,0.5252634002827108,0.2746071773397369
new30,SGC2026boggwn,LPSO,0.1665381440258968,0.1666381440258968,0.1665651952017486,76,2310,0.2371033001691103,0.7787138000130653,0.3044806707742076
new30,SGC2026boggwn,HSSO-no-helix,0.166538144025901,0.166638144025901,0.1665803851991832,18,570,0.08966880012303591,1.2290256000123918,0.07295926148497786
new30,SGC2026boggwn,HSSO-E,0.1665381440259008,0.1666381440259008,0.1665576159834776,37,1140,0.15710690012201667,1.6664783000014722,0.09427479501045881
new30,SGC2025pgzatv,PSO,0.1859598283247535,0.18605982832475348,0.18604541836328878,131,3960,0.4044459997676313,0.5735110999085009,0.7052104132459814
new30,SGC2025pgzatv,LPSO,0.1858701329870945,0.1859701329870945,0.18591746338508175,180,5430,1.0217269002459943,0.7062656003981829,1.446661000719784
new30,SGC2025pgzatv,HSSO-no-helix,0.1858530604868601,0.18595306048686008,0.18590999594938273,68,2070,0.5174857000820339,1.1237955996766686,0.46048026903728895
new30,SGC2025pgzatv,HSSO-E,0.185868420789779,0.185968420789779,0.18594134824440217,163,4920,0.944854199886322,1.198793699964881,0.7881708086337139
new30,SGC2025yxrhgz,PSO,0.5307098694604799,0.5308098694604799,0.5307724869643929,42,1290,0.10569150000810623,0.7835132996551692,0.13489432796433953
new30,SGC2025yxrhgz,LPSO,0.5307098694604858,0.5308098694604858,0.5307777234253679,58,1770,0.2149804001674056,0.9479040000587702,0.22679554063921747
new30,SGC2025yxrhgz,HSSO-no-helix,0.5307098694604797,0.5308098694604797,0.5307494964793555,15,480,0.11228109989315271,1.9662187998183072,0.0571050891709144
new30,SGC2025yxrhgz,HSSO-E,0.5307098694604858,0.5308098694604858,0.5307957303191938,19,600,0.11105180019512773,1.4712445000186565,0.07548153973980498
new30,SGC2023scytrc,PSO,0.0720985021749881,0.0721985021749881,0.07210681501721834,83,2520,0.1533111003227532,0.4729294995777309,0.32417326569740634
new30,SGC2023scytrc,LPSO,0.0720985021749851,0.07219850217498511,0.07218757662842457,112,3390,0.43240399984642863,0.6852262997999787,0.6310382423626322
new30,SGC2023scytrc,HSSO-no-helix,0.0720985021749885,0.07219850217498851,0.07214203685839851,28,870,0.15153559995815158,1.4118910999968648,0.10732810764122536
new30,SGC2023scytrc,HSSO-E,0.0720985021749935,0.0721985021749935,0.07218052222248994,40,1230,0.1922089997678995,1.7548322998918593,0.1095312639160701
new30,SGC2026baehdu,PSO,0.4999585514357941,0.5000585514357941,0.5000339140835429,57,1740,0.09607979981228709,0.5668677999638021,0.16949242807303988
new30,SGC2026baehdu,LPSO,0.4999585514357923,0.5000585514357924,0.5000114396906029,53,1620,0.16368449991568923,0.7571266000159085,0.21619171735909154
new30,SGC2026baehdu,HSSO-no-helix,0.4999585514357926,0.5000585514357926,0.4999588056557842,18,570,0.09097469970583916,1.5911176996305585,0.05717659964876424
new30,SGC2026baehdu,HSSO-E,0.4999585514357909,0.5000585514357909,0.500035906088142,16,510,0.11768999975174665,1.3732459000311792,0.08570205798471675
new30,SGC2025wvcvfj,PSO,0.1395212234155748,0.13962122341557479,0.13955110159756998,73,2220,0.184194500092417,0.4533294001594186,0.40631492249927503
new30,SGC2025wvcvfj,LPSO,0.1395212234155752,0.1396212234155752,0.1395826112582654,89,2700,0.27173939999192953,0.6569292000494897,0.4136509687367498
