dataset,event_id,method,seed,evaluations,optimizer_elapsed_s,n_stations,sgc_lat,sgc_lon,sgc_depth_km,relocated_lat,relocated_lon,relocated_depth_km,origin_shift_s,sgc_model_rms_s,relocated_rms_s,huber_objective_s,rms_reduction_s,delta_horizontal_km,delta_depth_km,depth_lower_km,depth_upper_km,depth_boundary,large_horizontal_shift,large_vertical_shift
new30,SGC2023tdymfy,PSO,497782936,9030,0.8236517999321222,8,7.1925,-73.78916667,23.81,7.069168250740659,-73.7916674371592,42.71521469470619,-0.8224325392511318,0.7751025209091679,0.20606702166817348,0.20606702166817348,0.5690354992409944,13.732070503455557,18.905214694706192,3.8099999999999987,43.81,False,False,True
new30,SGC2023tdymfy,LPSO,497782936,9030,1.0082803000696003,8,7.1925,-73.78916667,23.81,7.069168248502136,-73.7916674330903,42.7152163479972,-0.822432627934452,0.7751025209091679,0.20606702166816665,0.20606702166816665,0.5690354992410012,13.732070743551333,18.9052163479972,3.8099999999999987,43.81,False,False,True
new30,SGC2023tdymfy,HSSO-no-helix,497782936,9030,1.2612171997316182,8,7.1925,-73.78916667,23.81,7.06916824839062,-73.79166743544272,42.71521672877921,-0.8224326179980288,0.7751025209091679,0.20606702166817092,0.20606702166817092,0.569035499240997,13.732070761192695,18.905216728779212,3.8099999999999987,43.81,False,False,True
new30,SGC2023tdymfy,HSSO-E,497782936,9030,1.2571840998716652,8,7.1925,-73.78916667,23.81,7.069168236882606,-73.79166742893807,42.71521867245465,-0.8224326564407285,0.7751025209091679,0.20606702166816976,0.20606702166816976,0.569035499240998,13.732072027544106,18.905218672454648,3.8099999999999987,43.81,False,False,True
new30,SGC2023wlnqql,PSO,460532856,9030,0.7019173000007868,8,7.237166667,-73.32583333,34.34,7.2495240821441564,-73.36221627477677,37.54609660203022,-1.5036759126408814,0.4751378850076284,0.098525066339511,0.098525066339511,0.37661281866811736,4.248815247322983,3.2060966020302146,14.340000000000003,54.34,False,False,False
new30,SGC2023wlnqql,LPSO,460532856,9030,1.12089079990983,8,7.237166667,-73.32583333,34.34,7.249524081024864,-73.36221627662331,37.54609565828395,-1.5036758862907007,0.4751378850076284,0.0985250663395179,0.0985250663395179,0.37661281866811047,4.248815400016482,3.2060956582839495,14.340000000000003,54.34,False,False,False
new30,SGC2023wlnqql,HSSO-no-helix,460532856,9030,1.3654109998606145,8,7.237166667,-73.32583333,34.34,7.249524079260872,-73.36221627580673,37.54609743223209,-1.503675917116106,0.4751378850076284,0.09852506633951744,0.09852506633951744,0.3766128186681109,4.248815251073682,3.2060974322320845,14.340000000000003,54.34,False,False,False
new30,SGC2023wlnqql,HSSO-E,460532856,9030,1.3228067997843027,8,7.237166667,-73.32583333,34.34,7.249524079111643,-73.36221627121255,37.546098105831476,-1.503675893460664,0.4751378850076284,0.09852506633951542,0.09852506633951542,0.37661281866811297,4.2488147654246955,3.2060981058314724,14.340000000000003,54.34,False,False,False
new30,SGC2025qrozun,PSO,1344404960,9030,0.4856475000269711,7,7.1245,-73.44416667,34.12,7.109294811250896,-73.48441023233,39.367271396561996,-1.5066746252684045,0.4375302652676995,0.18139367743531634,0.18139367743531634,0.25613658783238313,4.757791770090412,5.247271396561999,14.119999999999997,54.12,False,False,False
new30,SGC2025qrozun,LPSO,1344404960,9030,0.6966910003684461,7,7.1245,-73.44416667,34.12,7.109278021728223,-73.48445523002444,39.3978014143737,-1.5076413191335174,0.4375302652676995,0.18139319121147404,0.18139319121147404,0.25613707405622543,4.763103226197567,5.277801414373705,14.119999999999997,54.12,False,False,False
new30,SGC2025qrozun,HSSO-no-helix,1344404960,9030,1.5924794999882579,7,7.1245,-73.44416667,34.12,7.109846540622375,-73.48286291825372,38.33124652954532,-1.473485032145998,0.4375302652676995,0.18143675158845077,0.18143675158845077,0.2560935136792487,4.576164565631184,4.2112465295453205,14.119999999999997,54.12,False,False,False
new30,SGC2025qrozun,HSSO-E,1344404960,9030,1.2590041998773813,7,7.1245,-73.44416667,34.12,7.109145923847368,-73.48479983852624,39.63460917882528,-1.5150825787404507,0.4375302652676995,0.18139097654621358,0.18139097654621358,0.25613928872148595,4.803919579550942,5.514609178825282,14.119999999999997,54.12,False,False,False
new30,SGC2026boggwn,PSO,2189409557,9030,0.5252634002827108,8,7.711,-73.73683333,44.87,7.536419441577786,-73.76088233170792,62.573793299526336,-0.33354581321269805,0.7722370538219133,0.16653814402590253,0.16653814402590253,0.6056989097960108,19.615119763529865,17.70379329952634,24.869999999999997,64.87,False,False,True
new30,SGC2026boggwn,LPSO,2189409557,9030,0.7787138000130653,8,7.711,-73.73683333,44.87,7.53641945268273,-73.76088233184417,62.57379451629832,-0.3335459712610973,0.7722370538219133,0.1665381440258968,0.1665381440258968,0.6056989097960165,19.615118540762317,17.703794516298323,24.869999999999997,64.87,False,False,True
new30,SGC2026boggwn,HSSO-no-helix,2189409557,9030,1.2290256000123918,8,7.711,-73.73683333,44.87,7.5364194591961065,-73.7608823371023,62.57379462712396,-0.3335460437826434,0.7722370538219133,0.166538144025901,0.166538144025901,0.6056989097960124,19.615117901078857,17.703794627123962,24.869999999999997,64.87,False,False,True
new30,SGC2026boggwn,HSSO-E,2189409557,9030,1.6664783000014722,8,7.711,-73.73683333,44.87,7.53641945328359,-73.76088233677856,62.57379350413152,-0.33354594577722985,0.7722370538219133,0.1665381440259008,0.1665381440259008,0.6056989097960125,19.615118548347557,17.703793504131525,24.869999999999997,64.87,False,False,True
new30,SGC2025pgzatv,PSO,1369998956,9030,0.5735110999085009,7,7.723166667,-73.75666667,43.88,7.64275658101095,-73.76453924498179,58.48532937027498,-0.8178967457724582,0.39660505985788663,0.18595982832475352,0.18595982832475352,0.2106452315331331,8.993415184290983,14.60532937027498,23.880000000000003,63.88,False,False,False
new30,SGC2025pgzatv,LPSO,1369998956,9030,0.7062656003981829,7,7.723166667,-73.75666667,43.88,7.649017480905685,-73.77090640059012,60.10151413075269,-0.9924369384296661,0.39660505985788663,0.18587013298709457,0.18587013298709457,0.21073492687079207,8.402897980210643,16.221514130752688,23.880000000000003,63.88,False,False,True
new30,SGC2025pgzatv,HSSO-no-helix,1369998956,9030,1.1237955996766686,7,7.723166667,-73.75666667,43.88,7.64825723757435,-73.77033687300501,59.9657596213969,-0.9755647488824515,0.39660505985788663,0.18585306048686018,0.18585306048686018,0.21075199937102645,8.474604930523435,16.085759621396896,23.880000000000003,63.88,False,False,True
new30,SGC2025pgzatv,HSSO-E,1369998956,9030,1.198793699964881,7,7.723166667,-73.75666667,43.88,7.647118832229274,-73.76913145313065,59.658666362848756,-0.9429028732327822,0.39660505985788663,0.185868420789779,0.185868420789779,0.21073663906810763,8.576941531929123,15.778666362848753,23.880000000000003,63.88,False,False,True
new30,SGC2025yxrhgz,PSO,958740394,9030,0.7835132996551692,8,7.457166667,-73.291,51.5,7.46282512480084,-73.34670558417304,31.5,-0.14261466817000645,0.780826773852966,0.5307312175974397,0.5307098694604799,0.25009555625552626,6.187071471010524,-20.0,31.5,71.5,True,False,True
new30,SGC2025yxrhgz,LPSO,958740394,9030,0.9479040000587702,8,7.457166667,-73.291,51.5,7.4628251220868895,-73.34670557500527,31.5,-0.1426146133375532,0.780826773852966,0.5307312179596343,0.5307098694604858,0.25009555589333166,6.18707043256687,-20.0,31.5,71.5,True,False,True
new30,SGC2025yxrhgz,HSSO-no-helix,958740394,9030,1.9662187998183072,8,7.457166667,-73.291,51.5,7.462825127461864,-73.34670558191804,31.5,-0.1426146823119243,0.780826773852966,0.5307312177181771,0.5307098694604797,0.25009555613478884,6.187071253308378,-20.0,31.5,71.5,True,False,True
new30,SGC2025yxrhgz,HSSO-E,958740394,9030,1.4712445000186563,8,7.457166667,-73.291,51.5,7.462825118379339,-73.34670558807005,31.5,-0.14261462860005203,0.780826773852966,0.5307312173714591,0.5307098694604858,0.25009555648150683,6.187071826577473,-20.0,31.5,71.5,True,False,True
new30,SGC2023scytrc,PSO,1956469424,9030,0.4729294995777309,7,7.31765396,-74.4568589,52.0703125,7.153708486571396,-74.38646142171372,52.338801968546754,3.118741053125005,0.7343567762673989,0.07209850217498814,0.07209850217498814,0.6622582740924108,19.838810313238415,0.26848946854675404,32.0703125,72.0703125,False,False,False
new30,SGC2023scytrc,LPSO,1956469424,9030,0.6852262997999787,7,7.31765396,-74.4568589,52.0703125,7.153708473058804,-74.38646141474018,52.338803677927736,3.1187411301081625,0.7343567762673989,0.07209850217498513,0.07209850217498513,0.6622582740924138,19.838811999118477,0.2684911779277357,32.0703125,72.0703125,False,False,False
new30,SGC2023scytrc,HSSO-no-helix,1956469424,9030,1.4118910999968648,7,7.31765396,-74.4568589,52.0703125,7.153708473901484,-74.38646141818934,52.33880304051819,3.1187411184939737,0.7343567762673989,0.0720985021749885,0.0720985021749885,0.6622582740924104,19.838811763404294,0.26849054051818655,32.0703125,72.0703125,False,False,False
new30,SGC2023scytrc,HSSO-E,1956469424,9030,1.7548322998918593,7,7.31765396,-74.4568589,52.0703125,7.153708461121971,-74.38646140813643,52.338804833507545,3.118741220240839,0.7343567762673989,0.07209850217499354,0.07209850217499354,0.6622582740924053,19.838813507610627,0.2684923335075453,32.0703125,72.0703125,False,False,False
new30,SGC2026baehdu,PSO,1977242476,9030,0.5668677999638021,8,7.7865,-74.16983333,64.85,7.517050951518563,-74.0495239104409,73.24537526879587,1.7562304893138094,0.767246306041844,0.5014776594399278,0.4999585514357941,0.2657686466019161,32.80866337865609,8.395375268795874,44.849999999999994,84.85,False,True,False
new30,SGC2026baehdu,LPSO,1977242476,9030,0.7571266000159085,8,7.7865,-74.16983333,64.85,7.517050960579994,-74.04952392756387,73.2453750313974,1.7562303887852426,0.767246306041844,0.5014776576991576,0.4999585514357923,0.2657686483426863,32.808661689897335,8.395375031397407,44.849999999999994,84.85,False,True,False
new30,SGC2026baehdu,HSSO-no-helix,1977242476,9030,1.5911176996305585,8,7.7865,-74.16983333,64.85,7.517050951126679,-74.04952391356062,73.24537394104026,1.7562305389049655,0.767246306041844,0.5014776601082573,0.49995855143579265,0.2657686459335866,32.80866327887837,8.395373941040262,44.849999999999994,84.85,False,True,False
